Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-03-28 00:00:00,Mandalay,28.2,51,30.0,21.9588,96.0891
2026-03-28 01:00:00,Mandalay,27.4,57,29.6,21.9588,96.0891
2026-03-28 02:00:00,Mandalay,27.0,63,29.9,21.9588,96.0891
2026-03-28 03:00:00,Mandalay,26.6,69,30.5,21.9588,96.0891
2026-03-28 04:00:00,Mandalay,26.0,70,29.2,21.9588,96.0891
2026-03-28 05:00:00,Mandalay,25.2,72,28.4,21.9588,96.0891
2026-03-28 06:00:00,Mandalay,25.1,75,28.2,21.9588,96.0891
2026-03-28 07:00:00,Mandalay,26.2,70,29.2,21.9588,96.0891
2026-03-28 08:00:00,Mandalay,28.6,60,30.7,21.9588,96.0891
2026-03-28 09:00:00,Mandalay,30.9,51,32.2,21.9588,96.0891
2026-03-28 10:00:00,Mandalay,33.1,42,34.5,21.9588,96.0891
2026-03-28 11:00:00,Mandalay,35.0,37,37.2,21.9588,96.0891
2026-03-28 12:00:00,Mandalay,36.2,35,38.7,21.9588,96.0891
2026-03-28 13:00:00,Mandalay,37.1,32,39.3,21.9588,96.0891
2026-03-28 14:00:00,Mandalay,37.3,31,38.4,21.9588,96.0891
2026-03-28 15:00:00,Mandalay,36.8,28,35.9,21.9588,96.0891
2026-03-28 16:00:00,Mandalay,36.6,24,35.0,21.9588,96.0891
2026-03-28 17:00:00,Mandalay,35.9,21,33.9,21.9588,96.0891
2026-03-28 18:00:00,Mandalay,34.2,24,33.5,21.9588,96.0891
2026-03-28 19:00:00,Mandalay,31.6,35,31.0,21.9588,96.0891
2026-03-28 20:00:00,Mandalay,28.3,57,29.2,21.9588,96.0891
2026-03-28 21:00:00,Mandalay,26.5,64,27.8,21.9588,96.0891
2026-03-28 22:00:00,Mandalay,25.2,73,27.8,21.9588,96.0891
2026-03-28 23:00:00,Mandalay,24.9,76,28.4,21.9588,96.0891
2026-03-29 00:00:00,Mandalay,24.6,78,28.2,21.9588,96.0891
2026-03-29 01:00:00,Mandalay,23.8,82,27.3,21.9588,96.0891
2026-03-29 02:00:00,Mandalay,23.3,86,27.1,21.9588,96.0891
2026-03-29 03:00:00,Mandalay,22.8,89,26.9,21.9588,96.0891
2026-03-29 04:00:00,Mandalay,22.4,92,26.5,21.9588,96.0891
2026-03-29 05:00:00,Mandalay,22.0,94,26.1,21.9588,96.0891
2026-03-29 06:00:00,Mandalay,22.1,93,26.2,21.9588,96.0891
2026-03-29 07:00:00,Mandalay,23.9,84,28.0,21.9588,96.0891
2026-03-29 08:00:00,Mandalay,26.6,70,30.6,21.9588,96.0891
2026-03-29 09:00:00,Mandalay,29.0,60,32.9,21.9588,96.0891
2026-03-29 10:00:00,Mandalay,31.1,52,35.4,21.9588,96.0891
2026-03-29 11:00:00,Mandalay,32.9,46,37.3,21.9588,96.0891
2026-03-29 12:00:00,Mandalay,34.0,42,39.3,21.9588,96.0891
2026-03-29 13:00:00,Mandalay,35.0,37,39.6,21.9588,96.0891
2026-03-29 14:00:00,Mandalay,35.6,33,38.8,21.9588,96.0891
2026-03-29 15:00:00,Mandalay,35.8,30,36.9,21.9588,96.0891
2026-03-29 16:00:00,Mandalay,35.2,29,35.7,21.9588,96.0891
2026-03-29 17:00:00,Mandalay,34.2,31,35.1,21.9588,96.0891
2026-03-29 18:00:00,Mandalay,33.5,35,34.9,21.9588,96.0891
2026-03-29 19:00:00,Mandalay,31.2,43,32.8,21.9588,96.0891
2026-03-29 20:00:00,Mandalay,29.9,51,32.1,21.9588,96.0891
